D,N,k,P_unbounded
1,500,9,0.002
2,500,9,0.0365
3,500,9,0.1575
4,500,9,0.357
5,500,9,0.626
6,500,9,0.859
7,500,9,0.973
8,500,9,0.9945
9,500,9,1.0
